,Difference
28,0.236943231
29,-0.173877551
30,-0.862935154
31,0.839610895
32,-0.117966102
18,0.76
23,-0.4
24,-0.53
25,-1.015294118
26,-0.523822526
27,-2.22
19,-1.289090909
20,-0.171836735
21,0.415107914
22,1.92
52,-1.771186441
53,-1.214594595
54,0.250721649
42,-0.586470588
46,0.033779264
43,-0.934482759
47,-1.028193833
44,-2.330612245
48,-1.16
45,0.689785408
49,0.28
50,0.071111111
51,-0.70962963
33,-0.94195122
34,1.02
35,1.853939394
36,0.794048443
37,-0.04
38,-0.29943662
39,0.418810409
40,-5.040689655
41,0.040133779
55,0.834728033
56,-0.842608696
57,-1.358947368
58,2.08
59,-0.18
60,0.658062284
61,0.1975
62,-0.274871795
63,-0.062550336
64,1.434311927
65,-1.073779904
66,0.882247191
67,0.306690391
68,-0.654285714
77,-1.766666667
78,-5.922568807
79,0.524545455
80,-0.916756757
69,1.634163424
70,-0.18676259
71,-0.02
72,-0.825226481
73,0.365771812
74,4.34
75,1.935625
76,4.094716981
93,-1.660353982
94,-0.776170213
95,-0.15
96,4.770909091
97,-0.851908397
88,0.152688172
89,-0.269690722
90,-5.637272727
91,2.571351351
92,-1.774285714
98,1.272222222
99,1.123758389
100,-1.54
81,-0.08
82,-0.431263538
83,-0.182268041
84,-0.641825095
85,-0.268275862
86,-1.407804878
87,0.886639004
104,0.493333333
105,0.44
106,-2.491042945
107,-1.027330677
101,0.47826087
102,-1.248674699
103,1.481702128
116,0.41826087
117,0.144709898
118,0.9
108,0.486086957
109,0.580294118
110,0.112542373
111,-0.83125
112,-0.486236559
113,0.557195572
114,-0.053333333
115,2.428888889
119,-0.617560976
120,0.059597315
121,-0.046277372
122,-0.383032491
123,1.471351351
130,-0.160677966
131,-0.511111111
132,-0.393913043
133,0.42
134,-0.628351648
135,-0.087474747
136,-0.534545455
124,0.242191781
125,-0.151525424
126,-0.041538462
127,-0.132653061
128,-0.177313433
129,-1.268101266
137,0.098518519
138,-0.943636364
139,-0.231724138
140,3.694825175
141,0.146206897
145,-1.066956522
142,4.741203008
143,0.531155378
144,1.373608247
146,-1.188940092
147,-1.750909091
148,-0.121081081
149,-1.15186722
150,-0.663243243
151,1.485714286
152,0.306122449
153,1.613571429
154,0.145135135
155,0.651089109
156,0.551111111
157,0.3
158,0.498248175
159,0.202090592
160,2.179754601
161,-0.649836066
162,0.196666667
163,0.382918149
164,-1.751304348
165,0.18
166,-1.311111111
167,-2.473964497
168,-0.291578947
169,0.275774648
179,-0.125714286
180,0.284335664
181,1.26
170,-0.392384342
171,-0.998867925
172,0.299139785
182,0.96
183,-0.436819788
184,-3.245
177,1.273333333
178,3.62
173,0.992093023
174,-1.179699248
175,0.126666667
176,-0.7725
185,-0.532408759
186,-0.080808081
187,-1.24
188,0.886433566
189,-0.071543624
190,-0.3
191,0.455687732
192,0.227832168
208,-3.31
203,-0.233652695
204,-1.33656051
205,4.66
206,-0.14
207,-0.213103448
199,-1.861659389
200,-0.762325581
201,-2.830819672
202,0.699112628
219,-0.149187279
220,-1.717475728
221,2.16990099
222,-0.075838926
223,0.101355932
224,-0.97253012
225,-1.349090909
226,-1.21958159
227,2.612727273
228,-0.040334448
229,0.276595745
230,-1.321702128
193,-1.318087649
194,-7.54
195,1.713543307
196,-0.388421053
197,-0.139175258
198,3.339633028
209,1.807058824
210,-0.025217391
211,-0.204897959
212,0.974545455
213,2.02
214,-0.693406593
215,-0.415294118
216,1.295454545
217,0.309655172
218,-2.993424658
236,-0.649465649
237,1.558181818
238,0.96195122
239,0.436065574
231,0.517313433
232,0.436258993
233,-0.500215054
234,-0.37971831
235,-0.666363636
240,2.412682927
241,1.592946058
242,1.745625
243,0.423188406
244,0.348421053
245,2.459766537
246,0.31
247,-0.249655172
9,0.18
10,-0.192835821
11,0.251666667
15,-0.39100346
16,-0.3
17,0.1
4,0.617183099
5,0.175862069
6,2.949830508
7,3.83
8,1.296462094
12,0.846666667
13,0.04
14,-2.350404624
0,0.407042254
1,1.188764045
2,0.410413223
3,-1.564753363
