,Fours,Sixes,SR,Runs
12,0.4444444444444444,0.0,0.6101694915254238,36
13,0.6923076923076923,0.0,1.1304347826086956,52
8,0.45454545454545453,0.0,0.7787610619469026,88
5,0.358974358974359,0.0,0.8041237113402062,78
9,0.6956521739130435,0.0,0.71875,23
6,0.16,0.24,0.6410256410256411,25
7,0.0,0.0,0.5454545454545454,6
10,0.25,0.0,0.6666666666666666,16
11,0.3225806451612903,0.0,0.7948717948717948,62
14,0.14457831325301204,0.07228915662650602,0.7545454545454545,83
15,0.9230769230769231,0.0,1.0,13
16,0.3389830508474576,0.0,0.6941176470588235,59
17,0.56,0.12,0.78125,50
18,0.17391304347826086,0.0,0.4107142857142857,23
19,0.4036697247706422,0.0,0.8449612403100775,109
20,0.0,0.0,0.09090909090909091,1
21,0.5454545454545454,0.0,0.8148148148148148,22
0,0.5333333333333333,0.0,0.75,15
1,0.39215686274509803,0.11764705882352941,1.186046511627907,51
2,0.3448275862068966,0.0,0.7532467532467533,58
3,0.0,0.0,0.4666666666666667,7
4,0.6956521739130435,0.0,1.15,23
33,0.18181818181818182,0.0,0.9166666666666666,22
34,0.35,0.0,0.9302325581395349,80
35,0.5128205128205128,0.0,0.8125,39
36,0.42105263157894735,0.0,0.59375,19
37,0.0,0.0,0.0,0
38,0.5555555555555556,0.0,0.8571428571428571,36
39,0.8,0.0,0.8333333333333334,15
40,0.4050632911392405,0.0759493670886076,0.7596153846153846,79
41,0.4,0.21818181818181817,0.859375,110
43,0.0,0.0,0.0,0
42,0.0,0.0,0.5,1
22,0.3157894736842105,0.0,0.8837209302325582,76
23,0.21428571428571427,0.10714285714285714,1.0,56
24,0.5333333333333333,0.0,0.4166666666666667,15
25,0.5714285714285714,0.0,0.7368421052631579,28
26,0.5714285714285714,0.0,0.6363636363636364,7
27,0.47058823529411764,0.0,0.5151515151515151,17
28,0.17391304347826086,0.0,0.6571428571428571,69
29,0.0,0.0,0.0,0
30,0.4,0.0,0.9090909090909091,10
31,0.4444444444444444,0.0,0.42857142857142855,18
32,0.4444444444444444,0.1111111111111111,1.0,54
54,0.5,0.0,0.8421052631578947,16
55,0.6666666666666666,0.0,0.5454545454545454,6
56,0.4444444444444444,0.0,0.5454545454545454,18
44,0.42105263157894735,0.0,0.6440677966101694,38
45,0.0,0.0,0.23684210526315788,9
46,0.2318840579710145,0.0,0.6634615384615384,69
47,0.15384615384615385,0.0,0.5909090909090909,26
48,0.6666666666666666,0.0,1.024390243902439,42
49,0.2,0.0,0.7017543859649122,80
50,0.375,0.0,0.8205128205128205,128
51,0.0,0.0,0.3728813559322034,22
52,0.48484848484848486,0.0,0.7857142857142857,33
53,0.7272727272727273,0.0,0.4230769230769231,11
57,0.6956521739130435,0.0,0.8214285714285714,23
58,0.2857142857142857,0.0,0.5490196078431373,28
59,0.6336633663366337,0.0,1.0520833333333333,101
60,0.0,0.0,0.0,0
61,0.35714285714285715,0.05357142857142857,0.9911504424778761,112
62,0.5289256198347108,0.049586776859504134,0.9236641221374046,121
63,0.5714285714285714,0.0,0.7,7
64,1.0,0.0,1.3333333333333333,4
65,0.42105263157894735,0.0,0.4634146341463415,19
66,0.0,0.0,0.2,2
67,0.8888888888888888,0.0,0.75,9
69,0.6666666666666666,0.0,0.375,6
68,0.0,0.0,0.16666666666666666,1
70,0.43478260869565216,0.0,0.46938775510204084,46
71,0.7142857142857143,0.0,1.037037037037037,28
72,0.2807017543859649,0.0,0.9193548387096774,57
73,0.0,0.0,0.45901639344262296,28
74,0.0,0.0,0.0,0
75,0.32653061224489793,0.0,0.6712328767123288,49
76,0.75,0.0,0.7272727272727273,16
77,0.16,0.0,0.8333333333333334,50
78,0.18181818181818182,0.0,0.5116279069767442,44
79,0.0,0.0,0.5,4
80,0.43373493975903615,0.0,0.9764705882352941,83
81,0.2857142857142857,0.0,0.7368421052631579,56
82,0.38095238095238093,0.07142857142857142,1.1506849315068493,84
83,0.3333333333333333,0.0,0.8780487804878049,36
84,0.0,0.0,0.11764705882352941,2
85,0.43243243243243246,0.0,1.2333333333333334,37
86,0.6153846153846154,0.0,1.1818181818181819,39
87,0.75,0.0,0.6956521739130435,16
88,0.2222222222222222,0.0,0.3829787234042553,18
89,0.0,0.0,0.3333333333333333,5
90,0.0,0.0,0.8461538461538461,33
91,0.37037037037037035,0.0,0.7105263157894737,54
92,0.0,0.0,0.16666666666666666,1
93,0.36363636363636365,0.0,0.7857142857142857,11
94,0.4444444444444444,0.3333333333333333,2.0454545454545454,90
95,0.38095238095238093,0.0,0.9545454545454546,21
96,0.2608695652173913,0.13043478260869565,1.0952380952380953,46
97,0.3333333333333333,0.0,0.821917808219178,60
105,0.5405405405405406,0.0,0.9866666666666667,74
106,0.26666666666666666,0.0,0.7317073170731707,60
107,0.47058823529411764,0.0,1.2142857142857142,17
108,0.5294117647058824,0.0,0.8607594936708861,68
109,0.5818181818181818,0.0,1.0784313725490196,55
113,0.38095238095238093,0.0,0.65625,42
114,0.3076923076923077,0.0,0.7428571428571429,52
115,0.547945205479452,0.0,0.8795180722891566,73
116,0.47058823529411764,0.0,0.4146341463414634,17
118,0.4166666666666667,0.0,0.7272727272727273,48
117,0.0,0.0,0.15384615384615385,2
119,0.6153846153846154,0.0,0.8666666666666667,13
120,0.39436619718309857,0.08450704225352113,1.0923076923076922,71
110,0.4897959183673469,0.0,1.065217391304348,49
111,0.35555555555555557,0.0,0.8490566037735849,45
112,0.0,0.0,0.0,0
121,0.2,0.0,0.45454545454545453,20
122,0.21333333333333335,0.08,0.7142857142857143,75
98,0.30434782608695654,0.06521739130434782,1.0337078651685394,92
99,0.16326530612244897,0.12244897959183673,0.7777777777777778,49
100,0.4444444444444444,0.0,1.08,27
101,0.36363636363636365,0.0,1.2222222222222223,11
102,0.43243243243243246,0.10810810810810811,0.8538461538461538,111
103,0.5185185185185185,0.1111111111111111,0.6666666666666666,54
104,0.4166666666666667,0.0,0.7058823529411765,48
123,1.0,0.0,0.36363636363636365,4
124,0.2898550724637681,0.0,0.7931034482758621,69
125,0.32,0.0,0.5102040816326531,25
126,0.37333333333333335,0.0,0.6818181818181818,75
127,0.25,0.0,0.631578947368421,48
133,0.75,0.0,0.8421052631578947,16
134,0.07692307692307693,0.11538461538461539,0.5977011494252874,52
135,0.24489795918367346,0.24489795918367346,1.2894736842105263,49
136,0.12903225806451613,0.0,0.543859649122807,31
137,0.5714285714285714,0.0,0.875,7
148,0.8,0.0,0.20833333333333334,5
149,0.0,0.0,0.38461538461538464,5
150,0.26666666666666666,0.0,0.6521739130434783,45
151,0.41379310344827586,0.0,0.5576923076923077,58
152,0.41025641025641024,0.0,0.7722772277227723,78
128,1.0,0.0,0.2857142857142857,4
129,0.0,0.0,0.10714285714285714,3
130,0.3157894736842105,0.15789473684210525,0.9743589743589743,38
131,0.25,0.1875,1.0,32
132,0.39215686274509803,0.0,1.00990099009901,102
138,0.3076923076923077,0.0,0.7428571428571429,26
139,0.5454545454545454,0.0,0.6875,22
140,0.5333333333333333,0.2,0.967741935483871,30
141,0.0,0.0,0.5333333333333333,8
142,0.36363636363636365,0.0,0.9565217391304348,22
143,0.3047619047619048,0.11428571428571428,1.206896551724138,105
144,0.1875,0.0,0.6881720430107527,64
145,0.38095238095238093,0.0,0.8235294117647058,42
146,0.39215686274509803,0.0,0.8947368421052632,51
147,0.631578947368421,0.0,1.9,19
153,0.12307692307692308,0.09230769230769231,0.7303370786516854,65
154,0.22535211267605634,0.08450704225352113,0.7634408602150538,71
155,0.0,0.0,0.42857142857142855,6
156,0.4444444444444444,0.0,0.2647058823529412,9
157,0.2222222222222222,0.0,0.6666666666666666,18
158,0.28865979381443296,0.18556701030927836,0.7185185185185186,97
159,0.3,0.0,0.5555555555555556,40
160,0.3609022556390977,0.0,0.8471337579617835,133
161,0.273972602739726,0.0,0.7684210526315789,73
166,0.7272727272727273,0.0,0.7857142857142857,11
167,0.0,0.0,0.5357142857142857,15
168,0.47619047619047616,0.14285714285714285,0.711864406779661,42
173,0.38095238095238093,0.0,0.9130434782608695,63
174,0.4166666666666667,0.0,0.9411764705882353,48
163,0.47058823529411764,0.0,0.7727272727272727,68
164,0.3582089552238806,0.0,0.9710144927536232,134
165,0.0,0.0,0.25,3
162,0.23529411764705882,0.0,0.38636363636363635,17
169,0.23529411764705882,0.0,0.7391304347826086,17
170,0.26666666666666666,0.06666666666666667,0.9,90
171,0.0,0.0,0.0,0
172,0.3380281690140845,0.08450704225352113,0.696078431372549,71
175,0.4260355029585799,0.21301775147928995,1.1901408450704225,169
176,0.6486486486486487,0.0,0.578125,37
177,0.0,0.0,0.0,0
178,0.3516483516483517,0.13186813186813187,0.8584905660377359,91
179,0.64,0.0,1.6666666666666667,75
197,0.5070422535211268,0.0,1.1833333333333333,71
198,0.0,0.0,0.0,0
187,0.0,0.0,0.696969696969697,23
188,0.27586206896551724,0.10344827586206896,0.8405797101449275,58
